mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__colsample_bytree,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.29392369588216144,0.18406830382170492,0.010982116063435873,0.001144831141413176,0.8,0.01,3,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-806.8677891322544,-865.3835120567909,-840.6202023684324,-837.6238345191592,23.982717702009218,106
0.21717731157938638,0.1258743821255883,0.0129547119140625,0.0013644701878103205,0.8,0.01,3,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-810.1066505515969,-865.8982302487551,-844.4679404457847,-840.1576070820456,22.97983640144858,108
0.3121354579925537,0.11370044335117174,0.02410721778869629,0.010765702598342242,0.8,0.01,3,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-598.2920116382641,-612.4771735222785,-596.4578672974974,-602.4090174860133,7.158530847579855,94
0.4832342465718587,0.10020424693223938,0.018586158752441406,0.006485729370609187,0.8,0.01,3,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-603.7456141880581,-613.8004287887405,-606.7453962053571,-608.097146394052,4.214676388763559,96
0.330219030380249,0.06332739619816921,0.011704285939534506,0.0014506118144485707,0.8,0.01,3,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-523.7718247633713,-510.1873722286015,-509.588134430267,-514.5157771407466,6.549584448851742,89
0.41807754834493,0.07052235620395544,0.015654246012369793,0.006300326995097718,0.8,0.01,3,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-530.7023798345209,-516.9479011284126,-514.4589169680418,-520.7030659769918,7.143223770524306,92
0.38698744773864746,0.06396941433690956,0.01691444714864095,0.006034693044278143,0.8,0.01,5,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-748.0781035370879,-797.8287145593664,-769.1808525336968,-771.6958902100504,20.388311768553773,104
0.35631871223449707,0.10842096109526005,0.01591952641805013,0.00494096123648494,0.8,0.01,5,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-744.1670491983602,-799.9330249828297,-768.1407276195484,-770.7469339335794,22.84082963046628,103
0.7843430042266846,0.23249132839175612,0.024213790893554688,0.008306168709332946,0.8,0.01,5,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-515.7244956886375,-519.9633148528717,-511.65635865599245,-515.7813897325005,3.391539278202738,90
0.5448652903238932,0.07333962100578653,0.013120730717976889,0.00037434532953206136,0.8,0.01,5,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-517.1591344141698,-516.8695722307477,-504.5504847935268,-512.8597304794814,5.876713053325193,87
0.9033366044362386,0.14607205056572875,0.01297911008199056,0.0003062132083386796,0.8,0.01,5,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-435.0203330909813,-413.3307679564088,-430.9222938621437,-426.4244649698446,9.40858322632464,79
0.8531649112701416,0.1436606143935881,0.01506654421488444,0.0026688652585794997,0.8,0.01,5,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-434.11134153932005,-417.25879912324007,-424.29776403406163,-425.2226348988739,6.911033982402234,78
1.2415558497111003,0.09679038620296172,0.04488976796468099,0.014335959678576317,0.8,0.01,7,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-722.7045663686899,-768.9449737884186,-748.2831964178399,-746.6442455249829,18.913107264672675,100
0.7753739356994629,0.2798532743116066,0.019848028818766277,0.010125414259145905,0.8,0.01,7,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-715.3883130419385,-767.7552738399296,-737.2155084295587,-740.1196984371422,21.477125591423917,97
1.7559864521026611,0.21021683422292833,0.017691612243652344,0.002624042571803641,0.8,0.01,7,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-468.95455060686385,-467.91482879303317,-464.85550496866415,-467.2416281228537,1.7398166843585432,82
1.4524261951446533,0.2689087299997181,0.01590442657470703,0.002290244883138624,0.8,0.01,7,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-469.6061766907409,-463.9970934522021,-453.77284559312756,-462.45870524535684,6.55482377682689,81
2.091247320175171,0.10623631550853666,0.02064061164855957,0.0014024950168086976,0.8,0.01,7,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-382.66649317479397,-357.3823731810182,-378.5802464747167,-372.8763709435096,11.082187750967478,67
1.931899865468343,0.35680213248126863,0.018765052159627277,0.0019386078841426104,0.8,0.01,7,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 7, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-383.74984036959137,-354.181632911766,-367.9923867026528,-368.64128666133666,12.079887594248971,65
0.21811771392822266,0.07235068779462922,0.02147197723388672,0.013407610377126093,0.8,0.1,3,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-416.7694983849159,-374.3911360855941,-425.4631447844453,-405.54125975165175,22.310573356415976,74
0.2189807097117106,0.04157064614292925,0.019546349843343098,0.009168016714171527,0.8,0.1,3,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-423.11346670297473,-380.2292245718149,-425.32087564992383,-409.55452230823784,20.755689646651216,75
0.28608957926432294,0.08025477158108427,0.024771769841512043,0.009506466322217279,0.8,0.1,3,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-358.2000940343836,-325.51198116763607,-381.11675904871345,-354.94294475024435,22.81709296259224,61
0.34340929985046387,0.06868044525644694,0.013010899225870768,0.0008364520333441667,0.8,0.1,3,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-374.1763694679344,-343.1601383083469,-387.2829100221068,-368.20647259946276,18.5010719940095,64
0.422516663869222,0.11349687185525884,0.015530268351236979,0.004992038939803671,0.8,0.1,3,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-328.45296637566537,-298.9315366640196,-355.5710045557756,-327.6518358651535,23.129903996579397,53
0.2753649552663167,0.019142191661891194,0.011536359786987305,0.0003343538721777771,0.8,0.1,3,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-342.4176504952567,-317.79017370873754,-365.4903425279554,-341.89938891064986,19.476960280427587,60
0.28862373034159344,0.049481349319902335,0.012317816416422525,0.0015163836775067784,0.8,0.1,5,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-341.25500337370147,-311.0628372024704,-347.02966560112253,-333.1158353924315,15.77102253787032,58
0.2916702429453532,0.09582965327998369,0.011812289555867514,0.0010680372901795997,0.8,0.1,5,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-338.85781927423164,-294.6075756366436,-338.9269570151528,-324.1307839753427,20.876079899643962,51
0.4671472708384196,0.08310770585805717,0.014470656712849935,0.0018857371360898334,0.8,0.1,5,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-289.1362742329692,-261.42711295662343,-305.2028104341947,-285.2553992079291,18.080815166578173,37
0.5815678437550863,0.2012854555572394,0.02303735415140788,0.012378054189231068,0.8,0.1,5,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-292.36647452888906,-251.20960009229051,-301.37242897788246,-281.64950119968734,21.836017470460895,33
0.9719994068145752,0.2992308807464725,0.02796657880147298,0.011988456472853098,0.8,0.1,5,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-270.57007389278203,-243.05028592623196,-291.20333577250386,-268.27456519717265,19.725298012165332,18
0.9711602528889974,0.29212283458354854,0.03462060292561849,0.016341256075287424,0.8,0.1,5,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-272.4031509567093,-233.05056947142214,-285.2301112583705,-263.56127722883394,22.200753643945543,7
0.6619207064310709,0.12249098800549682,0.0201413631439209,0.007358523697532079,0.8,0.1,7,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-280.1954781668527,-253.56445044213598,-309.370853465992,-281.0435940249936,22.790760262247865,32
0.9673375288645426,0.1386671322911337,0.027030070622762043,0.007058830812396258,0.8,0.1,7,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-296.73238498561983,-251.19890485491072,-298.4312950385796,-282.1208616263701,21.8761229315436,34
1.1127423445383708,0.21313088709509975,0.02627261479695638,0.011994810897223518,0.8,0.1,7,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 7, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-259.45205872923464,-231.2078812148545,-292.6059354006589,-261.08862511491606,25.09234978503475,5
1.3771051565806072,0.37899979445496135,0.015111049016316732,9.06060310938873e-05,0.8,0.1,7,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 7, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-279.29720096797735,-236.70913293859462,-286.38158458667795,-267.46263949775,21.937498293671148,14
1.7462147076924641,0.2545674503084778,0.025051991144816082,0.006996867860469405,0.8,0.1,7,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 7, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-255.95211272187285,-227.82537305224074,-289.99197941036016,-257.9231550614913,25.417651248030634,2
1.4064795176188152,0.24177485569320512,0.015984455744425457,0.0005247586005394698,0.8,0.1,7,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.1, 'estimator__max_depth': 7, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-275.4256373814174,-234.44654024564304,-283.9011971609933,-264.5911249293512,21.59445558022141,9
0.1369051138559977,0.006078313040494627,0.0108640988667806,0.0004475937986837145,0.8,0.2,3,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-364.3934591104696,-357.29873137421663,-389.4454065679194,-370.37919901753526,13.789464412578047,66
0.16359448432922363,0.040886743624260195,0.020696401596069336,0.006296260264824186,0.8,0.2,3,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-373.7401542244377,-356.65604140732313,-408.79023893586884,-379.72881152254314,21.7008701847333,72
0.28523993492126465,0.06115809029674402,0.012981414794921875,0.0009557914083335579,0.8,0.2,3,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-299.8842537010109,-296.24141366141185,-343.7594025999635,-313.29502332079545,21.592844100724367,49
0.19769668579101562,0.010851242685900701,0.012005170186360678,0.0004855337371421967,0.8,0.2,3,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-319.93929600977634,-308.57665076622595,-360.6360824081924,-329.7173430613982,22.349552699907935,55
0.288901408513387,0.016302876576633676,0.012695550918579102,0.0014164358893865036,0.8,0.2,3,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-274.5558127937736,-271.8991464468149,-322.87884295117726,-289.7779340639219,23.430992238081462,42
0.29497218132019043,0.030527462465601753,0.012218157450358072,0.0010140465527972318,0.8,0.2,3,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 3, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-289.403555733817,-278.85100932697674,-336.97422279106394,-301.7429292839526,25.282036976943413,47
0.23025266329447427,0.02021743803917505,0.011556466420491537,0.0005208854813914217,0.8,0.2,5,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-284.4923452859396,-262.25706549005196,-305.1929674253359,-283.98079273377584,17.532240458828962,36
0.23030312856038412,0.013341559303473896,0.01143352190653483,0.0013453488873347856,0.8,0.2,5,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-292.41849408830916,-262.63508941315035,-313.7305395105383,-289.59470767066597,20.95497685456472,41
0.4473448594411214,0.020165069782067148,0.014138539632161459,0.0013058326592468583,0.8,0.2,5,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-257.2101363297347,-237.11975919283353,-282.08434413029596,-258.8047465509547,18.391312459379346,3
0.5765847365061442,0.127079355928487,0.01741480827331543,0.003780398656784679,0.8,0.2,5,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-265.8840875311212,-237.17308530702695,-292.1689887413612,-265.0753871931698,22.459264544460737,10
0.7950286865234375,0.1801653643545858,0.021384318669637043,0.007897391463248861,0.8,0.2,5,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-252.25635453108902,-232.3285180395776,-278.5280066689292,-254.37095974653195,18.920039707785694,1
0.7649171352386475,0.09797475881765459,0.01781781514485677,0.0041339824417035076,0.8,0.2,5,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 5, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-261.2568649459671,-232.19767560015669,-287.9021946833684,-260.4522450764974,22.74839073317398,4
0.49823490778605145,0.07301608263087428,0.01493525505065918,0.004035637366794486,0.8,0.2,7,100,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 0.8}",-273.20508315537,-248.12822949755324,-285.99398619264036,-269.10909961518786,15.727612520531444,20
0.5688489278157552,0.10398339663698095,0.013558467229207357,0.0014680192397198684,0.8,0.2,7,100,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 7, 'estimator__n_estimators': 100, 'estimator__subsample': 1.0}",-278.5197980272901,-243.47960486778845,-293.4302721966754,-271.8098916972513,20.936959726262458,22
0.9688417116800944,0.0676733514955856,0.020960013071695965,0.007662715597944923,0.8,0.2,7,200,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 7, 'estimator__n_estimators': 200, 'estimator__subsample': 0.8}",-269.4219204410092,-244.53940808642042,-282.8987741994334,-265.62003424228766,15.889220583969575,12
1.117336352666219,0.06896495519353697,0.017908493677775066,0.0010720167602364754,0.8,0.2,7,200,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 7, 'estimator__n_estimators': 200, 'estimator__subsample': 1.0}",-275.0200683258392,-239.19377739874872,-290.6020715734461,-268.271972432678,21.522945525268767,17
1.422692060470581,0.10627604392338645,0.018780628840128582,0.0009123347568816645,0.8,0.2,7,300,0.8,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 7, 'estimator__n_estimators': 300, 'estimator__subsample': 0.8}",-269.2902236770798,-244.4400353064904,-282.82066227839545,-265.51697375398857,15.894363632552528,11
1.4518708388010662,0.26198623667498866,0.022818724314371746,0.008474164998235344,0.8,0.2,7,300,1.0,"{'estimator__colsample_bytree': 0.8, 'estimator__learning_rate': 0.2, 'estimator__max_depth': 7, 'estimator__n_estimators': 300, 'estimator__subsample': 1.0}",-274.8742994371351,-239.01550074986048,-290.4729964706924,-268.12093221922936,21.54335849784139,16
